close,high,low,open,time,volumefrom,volumeto
222.55,223.76,222.06,223.24,1429488000,2322.19,516542.8
222.94,223.16,222.46,222.55,1429491600,770.07,174114.04
223.57,223.78,222.76,222.94,1429495200,1357.96,302931.07
225.01,225.46,223.21,223.57,1429498800,1639.88,370063.94
223.75,224.82,223.64,225.01,1429502400,944.45,212239.34
223.41,224.67,223.17,223.75,1429506000,1699.56,380449.62
222.07,223.15,221.8,223.41,1429509600,1287.09,286994.65
222.39,223.09,221.54,222.07,1429513200,794.3,176759.91
224.14,224.89,222.54,222.39,1429516800,2984.1,670424.11
223.57,224.34,222.76,224.14,1429520400,1901.98,425904.0
224.25,224.36,222.69,223.57,1429524000,1019.52,228749.52
224.7,224.84,223.91,224.25,1429527600,1474.68,331659.01
225.29,225.97,224.57,224.7,1429531200,2565.4,580987.91
225.7,226.38,224.73,225.29,1429534800,3811.38,861049.83
223.99,225.96,223.7,225.7,1429538400,3657.04,822644.17
224.46,224.98,223.42,223.99,1429542000,2717.75,609174.82
224.42,224.92,223.78,224.46,1429545600,2237.54,509149.29
224.61,224.82,223.94,224.42,1429549200,1374.19,308819.75
225.03,225.4,224.56,224.61,1429552800,1503.86,338210.01
224.58,225.33,224.13,225.03,1429556400,1942.52,436575.82
224.49,225.02,223.77,224.58,1429560000,1519.38,340921.81
224.16,225.07,223.97,224.49,1429563600,1399.18,313912.98
224.47,224.52,222.87,224.16,1429567200,2292.4,512528.16
224.49,225.36,224.15,224.47,1429570800,1655.43,371886.9
225.01,225.72,224.16,224.49,1429574400,1900.7,427492.07
225.27,225.86,224.55,225.01,1429578000,2565.34,583141.98
224.21,225.84,223.23,225.27,1429581600,2109.74,476610.41
224.19,225.01,223.1,224.21,1429585200,1859.6,417129.37
225.08,225.67,224.38,224.19,1429588800,1194.2,269731.13
225.63,225.97,224.97,225.08,1429592400,1032.26,233222.78
225.87,226.07,224.9,225.63,1429596000,2310.0,522156.05
224.92,225.91,224.53,225.87,1429599600,1002.78,226567.27
224.48,225.33,224.3,224.92,1429603200,596.24,134173.86
223.38,224.5,223.31,224.48,1429606800,1210.94,271451.23
225.04,225.35,223.68,223.38,1429610400,903.23,203462.5
224.48,225.19,224.09,225.04,1429614000,1140.49,256404.89
224.33,225.34,224.12,224.48,1429617600,1429.21,321074.24
224.57,225.16,224.05,224.33,1429621200,1626.06,365537.51
224.29,224.94,223.85,224.57,1429624800,1202.71,272764.64
223.61,225.1,223.45,224.29,1429628400,2042.92,460973.44
223.63,224.49,223.13,223.61,1429632000,2798.23,626924.71
224.52,224.83,223.32,223.63,1429635600,1881.21,421842.64
225.31,225.56,224.3,224.52,1429639200,1287.76,289694.87
225.25,225.34,224.52,225.31,1429642800,1556.83,350403.59
233.08,233.57,224.56,225.25,1429646400,18361.65,4234447.49
232.84,235.38,231.28,233.08,1429650000,12158.14,2846186.77
233.49,234.04,232.68,232.84,1429653600,3135.79,731819.01
233.95,234.15,232.62,233.49,1429657200,3038.55,715605.88
234.37,235.68,233.56,233.95,1429660800,6833.74,1611744.31
234.18,235.01,233.43,234.37,1429664400,4122.58,964714.35
234.63,235.12,233.47,234.18,1429668000,2640.66,618758.86
234.96,235.98,233.96,234.63,1429671600,4382.39,1032893.4
234.66,236.05,234.16,234.96,1429675200,1730.08,408063.84
234.92,235.48,234.09,234.66,1429678800,1842.97,432722.97
235.03,235.17,233.93,234.92,1429682400,1556.4,365619.97
233.5,235.11,233.13,235.03,1429686000,2589.06,606099.5
235.66,236.66,233.89,233.5,1429689600,4647.09,1096443.17
234.6,235.54,234.19,235.66,1429693200,1414.88,332740.16
235.02,235.73,234.47,234.6,1429696800,1419.85,334219.7
235.16,235.75,234.65,235.02,1429700400,1910.52,449291.16
235.3,235.57,234.35,235.16,1429704000,1397.86,328508.76
234.8,235.46,234.44,235.3,1429707600,2792.65,657917.54
236.22,236.67,234.75,234.8,1429711200,5038.27,1189308.76
236.65,238.29,235.71,236.22,1429714800,8265.27,1961044.63
237.36,237.52,236.31,236.65,1429718400,2559.81,606604.59
236.46,238.09,235.62,237.36,1429722000,3254.67,771989.31
237.65,237.8,236.66,236.46,1429725600,1839.87,437177.89
237.22,237.71,236.6,237.65,1429729200,2064.46,489988.62
236.2,237.39,236.1,237.22,1429732800,2239.1,530179.45
234.36,236.57,232.13,236.2,1429736400,7821.49,1833332.76
234.49,234.85,232.56,234.36,1429740000,3135.04,733484.89
234.18,234.69,233.17,234.49,1429743600,2064.81,487211.77
233.96,234.39,233.51,234.18,1429747200,1620.49,379894.2
234.07,234.3,233.27,233.96,1429750800,2136.84,502856.75
234.34,234.76,233.74,234.07,1429754400,1598.32,377313.01
234.45,234.8,233.69,234.34,1429758000,1115.61,261681.51
233.58,234.46,233.12,234.45,1429761600,1256.9,295497.45
233.14,233.52,232.49,233.58,1429765200,1874.38,437647.56
233.59,234.13,232.67,233.14,1429768800,917.91,214608.52
234.51,234.84,233.3,233.59,1429772400,1526.49,357682.3
234.48,234.8,233.56,234.51,1429776000,1271.87,298689.16
234.56,235.15,233.28,234.48,1429779600,3127.97,733014.5
235.26,235.78,235.0,234.56,1429783200,1670.49,393133.68
234.97,235.28,234.32,235.26,1429786800,1945.44,456824.17
235.02,235.65,234.33,234.97,1429790400,2410.92,567605.34
235.43,235.83,234.51,235.02,1429794000,1534.77,360915.6
235.07,235.65,234.62,235.43,1429797600,1765.66,417718.7
235.52,235.66,234.63,235.07,1429801200,1709.01,402231.98
234.74,235.59,233.74,235.52,1429804800,3339.0,783923.45
235.36,235.68,234.32,234.74,1429808400,2188.98,515024.54
234.86,235.65,234.62,235.36,1429812000,1595.5,375707.64
234.96,235.49,233.85,234.86,1429815600,2975.62,704008.64
234.78,235.16,234.39,234.96,1429819200,1150.82,270375.97
234.8,235.45,234.53,234.78,1429822800,1728.56,406321.18
234.37,234.55,233.85,234.8,1429826400,918.65,215394.76
235.51,235.6,234.5,234.37,1429830000,1069.61,254550.05
235.78,236.47,235.15,235.51,1429833600,3511.5,829235.48
233.94,236.38,233.81,235.78,1429837200,2032.45,477688.5
232.11,233.89,231.71,233.94,1429840800,5215.34,1214069.17
233.58,234.14,232.02,232.11,1429844400,6872.87,1609453.27
232.91,233.83,232.86,233.58,1429848000,3745.26,876241.91
232.46,233.6,232.31,232.91,1429851600,4917.01,1148197.52
230.49,232.57,229.99,232.46,1429855200,10660.62,2463125.67
231.62,232.0,230.56,230.49,1429858800,2148.83,496991.5
230.33,231.42,229.54,231.62,1429862400,2314.43,534361.56
231.03,231.87,229.85,230.33,1429866000,2088.11,482620.54
231.2,231.81,230.7,231.03,1429869600,1961.34,453525.75
230.95,231.84,229.75,231.2,1429873200,2054.6,474822.58
231.92,232.14,231.16,230.95,1429876800,1542.97,357545.34
232.02,232.18,231.57,231.92,1429880400,1771.44,410941.76
231.34,232.05,230.92,232.02,1429884000,1810.53,419419.21
230.58,231.23,229.35,231.34,1429887600,1560.43,359838.07
230.53,231.33,228.87,230.58,1429891200,2927.54,677603.76
231.38,231.75,230.51,230.53,1429894800,2401.68,555056.7
230.92,231.47,230.39,231.38,1429898400,1467.72,346782.97
