close,high,low,open,time,volumefrom,volumeto
6255.2,6255.41,6247.98,6248.23,1536537240,91.04,568331.78
6248.86,6254.56,6248.84,6254.54,1536537300,32.13,201812.58
6246.22,6249.33,6244.23,6249.33,1536537360,67.59,421674.37
6251.32,6251.32,6246.18,6246.22,1536537420,21.18,132247.16
6249.94,6251.44,6249.51,6251.44,1536537480,6.95,44748.54
6249.07,6250.47,6249.0,6249.95,1536537540,22.72,143601.71
6262.45,6262.5,6249.07,6249.07,1536537600,93.0,582137.91
6265.23,6265.71,6262.33,6262.45,1536537660,24.32,153503.14
6274.17,6275.9,6265.23,6265.23,1536537720,80.58,506167.53
6266.21,6275.73,6266.17,6274.17,1536537780,65.25,410783.36
6263.33,6267.28,6263.28,6266.11,1536537840,16.8,105033.53
6264.76,6264.76,6262.26,6263.22,1536537900,13.74,86254.94
6267.54,6267.58,6264.95,6264.95,1536537960,26.95,169071.0
6269.4,6269.4,6267.49,6267.52,1536538020,29.78,186332.89
6270.73,6270.81,6269.34,6269.4,1536538080,13.55,84984.32
6271.76,6272.32,6270.24,6270.73,1536538140,10.72,67441.83
6267.22,6271.64,6266.97,6271.6,1536538200,30.41,190457.89
6266.56,6267.37,6266.06,6267.22,1536538260,15.58,97682.09
6270.4,6270.51,6266.56,6266.56,1536538320,28.09,175754.01
6269.89,6270.78,6269.8,6270.4,1536538380,9.79,61261.11
6266.83,6269.75,6266.55,6269.69,1536538440,14.07,88225.73
6266.91,6268.65,6266.22,6266.41,1536538500,6.59,41223.8
6265.18,6266.93,6264.56,6266.93,1536538560,18.32,114694.92
6264.69,6265.17,6263.85,6265.11,1536538620,11.5,72745.27
6264.99,6265.23,6264.38,6264.39,1536538680,9.06,57521.96
6267.13,6267.13,6264.44,6264.99,1536538740,17.83,111529.35
6264.02,6267.15,6264.02,6267.13,1536538800,8.97,56709.81
6257.7,6264.9,6257.18,6264.23,1536538860,47.95,300357.4
6257.29,6258.32,6254.99,6257.7,1536538920,29.61,186687.71
6258.12,6258.67,6257.09,6257.29,1536538980,26.9,168709.6
6258.36,6258.85,6257.74,6258.81,1536539040,6.17,39581.33
6259.28,6259.28,6258.11,6258.36,1536539100,8.35,52740.6
6262.91,6263.03,6259.11,6259.28,1536539160,15.14,95323.98
6265.48,6265.49,6262.32,6262.91,1536539220,48.94,305842.8
6265.68,6265.68,6265.43,6265.48,1536539280,6.85,43017.56
6265.87,6265.98,6265.28,6265.68,1536539340,39.41,246953.18
